zi	pinyin
卝	guàn
羋	mǐ
羐	líng
瑴	jué
彛	yí
龜	guī
彞	yí
龞	biē
丨	gǔn
丩	jiū
丬	pán
丫	yā
丰	fēng
中	zhòng,zhōng
丮	jǐ
丯	jiè
丱	guàn
卡	kǎ,qiǎ
串	chuàn,guàn
丳	chǎn
卥	xī
临	lín,lìn
亅	jué
亊	shì
事	shì
乀	fú
乁	yí
丿	piě
乃	nǎi
乂	yì
乄	shī  mē
九	jiǔ
亇	mā
久	jiǔ
么	me
乇	tuō
乆	jiǔ
丸	wán
乏	fá
乌	wù,wū
丹	dān
册	cè
玍	gǎ
乎	hū
乐	lè,yuè
乍	zhà
丘	qiū
乓	pāng
乒	pīng
乔	qiáo
乑	yín
丢	diū
乕	hǔ
乖	guāi
乗	chéng
鳬	fú
乘	chéng,shèng
了	le,liǎo
予	yú,yǔ
书	shū
一	yī
丁	dīng,zhēng
七	qī
丂	kǎo
丆	mo ye o ne
丄	shàng
丅	xià
万	mǒ,wàn
三	sān
上	shàng,shǎng
下	xià
与	yú,yù,yǔ
丈	zhàng
丌	qí
无	mó,wú
不	bù
丑	chǒu
丐	gài
丏	miǎn
专	zhuān
丒	chǒu
业	yè
丙	bǐng
东	dōng
且	jū,qiě
丕	pī
世	shì
丗	shì
丛	cóng
丝	sī
襾	yà
丟	diū
両	liǎng
丠	qiū
丞	chéng
两	liǎng
严	yán
丣	yǒu
丽	lí,lì
丧	sàng,sāng
兩	liǎng
並	bìng
乙	yǐ
乛	wɑn
乜	miē,niè
乞	qǐ
习	xí
乡	xiāng
也	yě
乤	hɑ ri
乧	dou
乬	ge ri
乩	jī
买	mǎi
乫	gɑ ri
乪	náng
乮	mo ri
乯	o lo
乭	dɑo ri
乱	luàn
乲	cɑ lo
乸	nǎ
乶	po ri
乷	sɑ lo
乴	xué
乽	zɑ ri
乼	zu ri
乻	ēr
乺	sɑo ri
乾	qián
乚	háo
乢	gài
乣	jiǔ
乨	shǐ
乵	yǎn
乳	rǔ
乹	qián
乿	zhì
亂	luàn
亃	lǐn
亄	yì
丶	zhǔ
丷	bā
之	zhī
义	yí,yì
为	wéi,wèi
主	zhù,zhǔ
丼	jǐng
屰	nì
鼡	nē zū mì
举	jǔ
八	bā
公	gōng
六	liù,lù
兮	xī
共	gòng,gǒng,gōng
兴	xìng,xīng
兲	tiān
兵	bīng
羌	qiāng
兌	duì
典	diǎn
其	jī,qí
具	jù
美	měi
羑	yǒu
羗	qiāng
羞	xiū
羡	xiàn
羨	xiàn
義	yì
冀	jì
勹	bāo
勺	sháo
勾	gòu,gōu
勼	jiū
勿	wù
匀	yún
勽	bào
匂	xiōng
勻	yún
匁	mo ne me
包	bāo
匆	cōng
匃	gài
匄	gài
匇	yi
匈	xiōng
匉	pēng
匋	táo
匌	gé
匊	jū
匍	pú
匎	è
匐	fú
匏	páo
匒	dá
匓	jiù
匑	gōng
匔	gōng
匕	bǐ
北	běi
匙	chí,shi
匘	nǎo
冫	bīng
冯	féng,píng
冮	gāng
冭	tài
冰	bīng
冲	chòng,chōng
冱	hù
决	jué
冴	yà
冻	dòng
况	kuàng
冷	lěng
冶	yě
冺	mǐn
冹	fā
冸	pàn
净	jìng
冽	liè
冼	xiǎn
冿	jiān
冾	qià
凂	měi
凁	sōu
凃	tú
凋	diāo
凉	liáng,liàng
凌	líng
凄	qī
凇	sōng
准	zhǔn
凍	dòng
凈	jìng
凎	gàn
凅	gù
凊	qìng
凑	còu
减	jiǎn
凐	yīn
凖	zhǔn
凔	cāng
凓	lì
凒	ái
凕	mǐng
凗	cuī
凘	sī
凛	lǐn
凙	duó
凜	lǐn
凚	jìn
凝	níng
凞	xī
凟	dú
卜	bo,bǔ
卞	biàn
卟	bǔ
卢	lú
占	zhàn,zhān
卤	lǔ
卣	yǒu
卦	guà
卧	wò
卨	xiè
厂	ān,chǎng
厄	ě
历	lì
厅	tīng
厃	wēi
厉	lì
厈	hàn
厇	zhé
厍	shè
压	yà,yā
厌	yā,yàn
厊	yǎ
厑	ɑ e si
厐	páng
厎	dǐ
厏	zhǎ
兏	cháng
厕	cè,si
厔	zhì
厓	yá
厒	qiè
厚	hòu
厘	lí
厛	tīng
厙	shè
厖	máng
厗	tí
厝	cuò
原	yuán
厞	fèi
厜	zuī
厩	jiù
厢	xiāng
厣	yǎn
厡	yuán
厠	cè
厨	chú
厥	jué
厦	shà,xià
厫	áo
厤	lì
厧	diān
厯	lì
厪	jǐn
厮	sī
厰	chǎng
厲	lì
厭	yàn
厬	guǐ
厱	qiān
厳	yán
厴	yǎn
厵	yuán
刀	dāo
刁	diāo
刃	rèn
刄	rèn
切	qiè,qiē
刅	chuāng
刍	chú
刕	lí
争	zhèng,zhēng
初	chū
刧	jié
免	miǎn,wèn
龟	guī,jūn,qiū
券	quàn,xuàn
刱	chuàng
刼	jié
兔	tù
剏	chuàng
剙	chuàng
剓	lí
剪	jiǎn
剱	jiàn
亀	guī
剺	lí
劈	pǐ,pī
劎	jiàn
劒	jiàn
劔	jiàn
刂	dāo
刈	yì
刌	cǔn
刊	kān
刉	jī
刋	qiàn
创	chuàng,chuāng
刚	gāng
划	huá,huà,huɑi
列	liè
刘	liú
刓	wán
刎	wěn
刑	xíng
刖	yuè
则	zé
刐	dǎn
刏	jī
刔	jué
刨	bào,páo
别	bié,biè
刬	chàn,chǎn
刜	fú
刭	jǐng
利	lì
判	pàn
删	shān
刦	jié
刪	shān
別	bié
刟	diāo
刢	líng
刡	mǐn
刞	qù
刣	zhōng
刹	chà,shā
刺	cì,cī
到	dào
剁	duǒ
刮	guā
刿	guì
刽	guì
剂	jì
剀	kǎi
刻	kè
刳	kū
刲	kuī
刷	shuà,shuā
制	zhì
刵	èr
刴	duò
刾	cì
刯	gēng
剆	luǒ
剉	cuò
剐	guǎ
剑	jiàn
剌	lá,là
前	qián
剃	tì
削	xiāo,xuē
剄	jǐng
則	zé
剎	chà
剅	dōu
剈	yuān
剥	bāo,bō
剒	cuò
剟	duō
剕	fèi
剞	jī
剧	jù
剖	pōu
剡	shàn,yǎn
剔	tī
剜	wān
剚	zì
剗	chǎn
剛	gāng
剮	guǎ
剠	qíng
剝	bāo
剢	dū
剤	jì
剣	jiàn
剘	qí
剦	yɑn
副	fù
剳	dá
剶	chuán
剫	duó
剬	zhì
剨	huò
剰	shèng
剭	wū
割	gē
剩	shèng
剴	kǎi
創	chuàng
剿	chāo,jiǎo
剽	piāo
剷	chǎn
剹	lù
剾	kōu
剻	pēng
剼	shān
剸	tuán
劀	guā
劂	jué
劁	qiáo,qiāo
劄	zhá,zhā
劃	huá
劐	huō
劌	guì
劇	jù
劍	jiàn
劊	guì
劉	liú
劅	zhuó
劋	jiǎo
劆	lián
劏	tāng
劓	yì
劑	jì
劕	zhì
劖	chán
劘	mó
劗	zuān
劙	lí
劚	zhú
儿	ér
兀	wù,wū
兂	zān
允	yǔn
兄	xiōng
光	guāng
先	xiān
兊	duì
兇	xiōng
兆	zhào
兕	sì
兎	tù
児	ér
兓	jin
兒	ní
兘	shǐ
党	dǎng
兜	dōu
兠	dōu
兢	jīng
兤	huǎng
二	èr
亍	chù
亏	kuī
于	yú
亐	yú
元	yuán
互	hù
井	jǐng
亓	qí
五	wǔ
云	yún
亖	sì
亗	suì
亘	gèn
亚	yà
亙	gèn
亜	yà
亟	jí,qì
些	xiē
亞	yà
匚	fāng
区	ōu,qū
匹	pǐ
匜	yí
匝	zā
匞	jiàng
匛	jiù
匠	jiàng
匡	kuāng
匟	kàng
匢	hū
匣	xiá
医	yī
匥	fán
匤	qū
匦	guǐ
匼	kē
匽	yǎn
匨	zāng
匩	kuāng
匧	qiè
匪	fěi
匿	nì
匫	hū
匾	biǎn
匮	kuì
匭	guǐ
區	qū
匬	yǔ
匯	huì
匱	kuì
匲	lián
匰	dān
匳	lián
匴	suǎn
匵	dú
匶	jiù
匷	jué
阝	fǔ
邓	dèng
队	duì
阞	lè
邒	tíng
邗	hán
邝	kuàng
邙	māng
阡	qiān
邛	qióng
阢	wù
邘	yú
邚	rú
阣	yì
邔	qǐ
邖	shān
阤	tuó
邜	xī
阠	xìn
阨	ài
阪	bǎn
邦	bāng
邠	bīn
邡	fāng
防	fáng
阶	jiē
阱	jǐng
阬	kēng
那	nà,nā,nè,nèi,nuó
阮	ruǎn
邬	wū
邪	xié,yé
邢	xíng
阳	yáng
阴	yīn
阵	zhèn
阧	dǒu
邨	cūn
邞	fū
邟	kàng
邩	huǒ
阫	péi
阰	pí
邥	shěn
阩	shēng
邷	wǎ
邤	xīn
阭	yǔn
阦	yáng
阥	yīn
邧	yuán
阯	zhǐ
阿	à,ǎ,ā,ē
陂	bēi,pí,pō
邶	bèi
邲	bì
邴	bǐng
陈	chén
邸	dǐ
阽	diàn,yán
阸	ě
附	fù
邯	hán
际	jì
邻	lín
陆	liù,lù
陇	lǒng
邳	pī
邱	qiū
邵	shào
邰	tái
陁	tuó
陀	tuó
陉	xíng
邺	yè
邮	yóu
邹	zōu
阻	zǔ
阼	zuò
陃	bǐng
阷	chēng
阺	dǐ
邭	jù
阾	lín
阹	qū
陌	bǎi,mò
陔	gāi
邽	guī
郃	hé
郈	hòu
郇	huán,xún
郏	jiá
降	jiàng,xiáng
郊	jiāo
郐	kuài
郎	láng
陋	lòu
陕	shǎn
郋	xí
郄	xì
限	xiàn
郁	yù
郓	yùn
郑	zhèng
郅	zhì
邾	zhū
陒	guǐ
郕	chéng
陊	duò
陏	duò
陑	ér
郍	nà
郂	gāi
郉	xíng
郆	jí
郀	kū
邼	kuāng
郘	lǚ
郱	píng
邿	shī
陎	shū
郔	yán
陓	yū
陛	bì
除	chú
陡	dǒu
郛	fú
郜	gào
郝	hǎo
郡	jùn
郦	lì
陧	niè
郚	wú
郗	xī
郤	xì
险	xiǎn
郢	yǐng
院	yuàn
郧	yún
陨	yǔn
陟	zhì
陣	zhèn
陝	shǎn
陘	xíng
陞	shēng
郟	jiá
郣	bó
陠	pū
陙	chún
陦	dǎo
郖	dòu
郙	fǔ
郠	gěng
郥	bèi
陖	jùn
郞	láng
陗	qiào
陜	xiá
陥	xiàn
部	bù
郴	chēn
陲	chuí
郸	dān
都	dōu,dū
郭	guō
陵	líng
陪	péi
郫	pí
陴	pí
郪	qī
郯	tán
陶	táo,yáo
陷	xiàn
陬	zōu
陸	lù
陳	chén
陰	yīn
郰	zōu
郵	yóu
郳	ní
郩	xiáo
陼	zhǔ
陮	duì
陫	fèi
陚	wǔ
陱	jū
郲	lái
陯	lún
郬	qīng
鄀	ruò
陹	shēng
険	xiǎn
郷	xiāng
陭	qí
郮	zhōu
鄂	ě
隍	huáng
鄄	juàn
隗	kuí,wěi
隆	lóng
郿	méi
鄃	shū
鄋	sōu
隋	suí,suī
随	suí
隈	wēi
郾	yǎn
隐	yǐn
隅	yú
鄅	yǔ
隂	yīn
陿	xiá
陻	yīn
隄	dī
陽	yáng
隊	duì
階	jiē
鄆	yùn
鄉	xiāng
隌	àn
鄁	bèi
隀	chóng
陾	réng
鄇	hóu
郹	jú
鄈	kuí
隉	niè
郻	qiāo
隃	yú
隇	wēi
鄊	xiāng
隁	yàn
郼	yī
隘	ài
隞	áo
隑	gāi
隔	gé
鄗	hào
鄚	mào
鄏	rǔ
鄌	táng
隙	xì
隓	huī
隕	yǔn
隖	wù
鄖	yún
鄔	wū
鄒	zōu
鄐	chù
鄍	míng
鄎	xī
鄕	xiāng
隒	yǎn
鄓	yì
鄑	zī
鄙	bǐ
鄜	fū
鄠	hù
隟	xì
鄢	yān
鄞	yín
鄘	yōng
鄣	zhāng
障	zhàng
際	jì
隠	yǐn
鄛	cháo
隝	dǎo
鄝	liǎo
鄤	màn
鄡	qiāo
鄥	qiāo
隡	sɑ
隚	táng
鄟	zhuān
鄱	pó
鄯	shàn
隧	suì
隤	tuí
隩	yù
隨	suí
鄩	xún
鄲	dān
鄭	zhèng
鄰	lín
鄧	dèng
鄪	bì
隥	dèng
隣	lín
鄮	mào
鄳	méng
隢	rǎo
鄬	wéi
鄦	xǔ
鄫	zēng
險	xiǎn
鄴	yè
鄵	cào
鄷	fēng
鄶	kuài
鄸	méng
隦	pí
隰	xí
鄹	zōu
鄺	kuàng
隯	dǎo
隭	ér
隮	jī
隬	nǐ
隱	yǐn
隲	zhì
隳	huī
鄾	yōu
鄽	chán
鄿	qí
鄻	liǎn
鄼	zàn
酂	cuó,zàn
酀	yàn
酃	líng
隴	lǒng
酁	chán
酄	huān
隵	xī
酆	fēng
酅	xī
酈	lì
酇	zàn
兯	hɑn
兰	lán
关	guān
兑	duì
兹	cí,zī
养	yǎng
兼	jiān
兽	shòu
兾	jì
兿	yì
冁	chǎn
几	jǐ,jī
凡	fán
凣	fán
凢	fán
凤	fèng
処	chù
凥	jū
凧	yi kɑ
凫	fú
凨	fēng
凩	kō gā lā xī
凪	nā gī
凬	fēng
凯	kǎi
凭	píng
凮	fēng
凰	huáng
凲	gān
凳	dèng
凴	píng
卩	jié
卫	wèi
卪	jié
卬	áng,yǎng
卯	mǎo
印	yìn
卭	qióng
即	jí
卵	luǎn
却	què
卲	shào
卹	xù
卶	chǐ
卸	xiè
卻	què
卽	jí
卿	qīng
卾	è
厁	sān
厀	xī
冂	jiōng
冈	gāng
冇	mǎo
内	nà,nèi
冄	rǎn
罓	wǎng
冃	mào
円	yuán
冉	rǎn
冊	cè
冎	guǎ
冋	jiōng
再	zài
网	wǎng
冏	jiǒng
冐	mào
罔	wǎng
冒	mào,mò
冑	zhòu
冓	gòu
冔	xú
冕	miǎn
羀	liǔ
力	lì
劜	yà
办	bàn
劝	quàn
功	gōng
加	jiā
劢	mài
务	wù
动	dòng
劣	liè
劤	jìn
劥	kēng
劦	xié
劧	zhǐ
助	chú,zhù
劫	jié
劲	jìn,jìng
劳	láo
励	lì
努	nǔ
劬	qú
劭	shào
労	láo
劰	miǎo
劮	yì
劯	zhǔ
劾	hé
劼	jié
劻	kuāng
势	shì
効	xiào
劷	yáng
劵	juàn
劶	kǒu
勆	láng
劽	liè
劺	móu
劸	wā
勃	bó
勉	miǎn
勋	xūn
勇	yǒng
勅	chì
勁	jìn
勂	gào
勀	kè
勊	kè
勄	mǐn
勈	yǒng
勐	měng
勍	qíng
勑	chì
勌	juàn
務	wù
勏	bù
勎	lù
勘	kān
勒	lè,lei,lēi
勔	miǎn
勖	xù
勚	yì
勗	xù
動	dòng
勓	kài
募	mù
勛	xūn
勝	shèng
勞	láo
勜	wěng
勤	qín
勣	jì
勢	shì
勦	jiǎo
勠	lù
勡	piāo
勧	quàn
勨	xiàng
勩	yì
勱	mài
勥	jiàng
勭	tóng
勫	fān
勪	qiāo
勬	juān
勰	xié
勲	xūn
勯	dān
勮	jù
勵	lì
勳	xūn
勶	chè
勴	lǜ
勷	ráng
勸	quàn
冖	mì
冗	rǒng
冘	yín
写	xiè,xiě
冚	kǎn
军	jūn
农	nóng
罕	hǎn
冝	yí
冞	shēn
罙	shēn
冠	guàn,guān
冟	shì
冥	míng
冤	yuān
冢	zhǒng
冣	zuì
冦	kòu
冧	lín
冡	měng
冨	fù
冩	xiě
冪	mì
凵	kǎn
凶	xiōng
凹	āo
出	chū
击	jī
凷	kuài
凸	tū
凼	dàng
函	hán
凾	hán
凿	záo
人	rén
个	gè,gě
亾	wáng
亼	jí
亽	jí
仓	cāng
从	cóng
介	jiè
今	jīn
仑	lún
以	yǐ
仄	zè
仌	bīng
仒	e o
仐	jīn
令	líng,lìng,lǐng
仝	tóng
仺	cāng
仧	cháng
仚	xiān
会	huì,kuài
企	qǐ
伞	sǎn
众	zhòng
佥	qiān
佘	shé
余	yú
侖	lún
侌	yīn
俞	yú
俎	zǔ
侴	hào
倉	cāng
倝	gàn
傘	sǎn
僉	qiān
僰	bó
亻	rén
亿	yì
化	huà,huā
仇	chóu,qiú
仃	dīng
仅	jìn,jǐn
仂	lè
仆	pú,pū
仁	rén
仍	réng
什	shén,shí
仉	zhāng
仈	bā
仏	fó
代	dài
付	fù
仡	gē,yì
伋	jí
们	men
仫	mù
仟	qiān
仞	rèn
仨	sā
仕	shì
他	tā
仙	xiān
仪	yí
仔	zǎi,zǐ,zī
仗	zhàng
仢	bó
仛	tuō
仦	chào
仠	gǎn
仜	hóng
仭	rèn
仩	cháng
仰	áng,yǎng
伧	cāng,chen
伥	chāng
伡	chē
传	chuán,zhuàn
伐	fá
仿	fǎng,páng
伕	fū
伏	fú
伙	huo,huǒ
伎	jì
价	jià,jie,jiè
件	jiàn
伉	kàng
伦	lún
仳	pǐ
佢	qú
任	rén,rèn
伤	shāng
似	sì,shì
佤	wǎ
伟	wěi
伪	wěi
伍	wǔ
仵	wǔ
伈	xǐn
休	xiū
伢	yá
伊	yī
优	yōu
伃	yú
伛	yǔ
仲	zhòng
伫	zhù
伌	ài
仯	chào
伜	cuì
伔	dǎn
仾	dī
伄	diào
伅	dùn
仮	fǎn
仹	fēng
仸	yǎo
伒	jìn
仱	qián
伖	tǎng
伂	pèi
伓	pī
伣	qiàn
仼	wáng
仴	wò
伆	wěn
伩	xìn
